carat,x,y,z,price,labcol,labcut,labclar
0.32,4.38,4.35,2.74,612,0,2,3
0.3,4.37,4.39,2.66,885,0,2,4
0.57,5.3,5.33,3.3,2195,4,2,1
0.9,6.31,6.23,3.71,3701,1,3,3
0.43,4.79,4.83,3.06,739,2,1,2
2.18,8.39,8.51,5.17,15646,5,2,2
0.33,4.39,4.43,2.75,463,5,2,5
0.31,4.38,4.43,2.68,816,1,4,7
1.71,7.54,7.59,4.79,13152,2,4,2
0.42,4.85,4.89,2.91,722,1,4,2
0.3,4.26,4.29,2.65,814,2,2,6
0.32,4.44,4.46,2.71,800,2,2,7
0.3,4.27,4.22,2.64,776,2,3,5
2.13,8.27,8.37,5.05,16778,3,3,3
0.33,4.43,4.41,2.75,743,1,3,2
0.31,4.39,4.43,2.69,625,3,2,4
0.9,6.11,6.15,3.83,4579,0,4,2
1.1,6.65,6.67,4.06,4878,5,4,4
0.37,4.67,4.7,2.83,682,3,2,5
0.4,4.65,4.68,2.94,687,1,4,2
0.42,4.81,4.76,2.98,992,1,3,2
0.34,4.52,4.54,2.78,919,2,2,6
1.21,6.85,6.88,4.25,5341,6,2,2
2.0,8.04,8.01,4.8,14126,4,3,2
0.3,4.32,4.28,2.64,653,1,4,4
0.38,4.73,4.75,2.84,970,3,4,6
2.01,7.98,7.89,5.02,11925,2,4,3
1.79,7.85,7.74,4.81,18419,3,3,4
0.3,4.32,4.35,2.63,725,3,4,6
0.62,5.44,5.47,3.37,2548,3,2,7
0.71,5.77,5.72,3.52,2817,1,2,2
1.88,7.84,7.79,4.94,9791,0,4,3
0.31,4.36,4.39,2.68,695,2,2,4
1.27,6.86,6.89,4.32,6396,5,2,4
0.67,5.6,5.62,3.5,2577,3,2,6
0.3,4.28,4.32,2.65,620,3,4,4
0.79,5.88,5.95,3.67,3324,4,2,7
0.32,4.39,4.42,2.72,454,0,2,3
0.42,4.76,4.8,2.97,773,4,4,5
1.37,7.3,7.35,4.27,10226,3,4,4
1.05,6.62,6.56,4.02,7526,3,2,4
0.7,5.76,5.79,3.47,2290,1,4,3
0.9,6.14,6.2,3.8,3724,2,4,2
0.9,6.15,6.11,3.87,3669,3,4,2
0.23,3.91,3.96,2.46,373,1,4,5
1.42,7.08,6.99,4.48,9542,2,1,5
0.32,4.35,4.38,2.75,505,4,4,5
0.32,4.35,4.38,2.7,393,6,3,5
0.45,4.73,4.5,3.19,756,3,0,2
0.31,4.32,4.36,2.71,625,4,2,7
1.07,6.76,6.65,3.93,6730,3,3,4
0.74,5.85,5.9,3.6,3413,3,4,7
2.01,8.01,7.92,5.09,7024,4,1,0
0.41,4.7,4.74,2.96,755,2,2,2
0.4,4.76,4.72,2.95,1074,1,2,2
0.3,4.29,4.32,2.68,539,4,2,4
0.9,5.91,5.83,3.93,3074,5,0,7
0.54,5.26,5.32,3.17,1653,2,4,4
0.43,4.88,4.83,3.0,1008,3,3,4
0.6,5.46,5.39,3.31,1875,1,3,4
1.54,7.41,7.44,4.58,9359,3,2,3
1.35,7.13,7.1,4.35,5715,6,3,2
0.7,5.72,5.76,3.49,2512,3,4,4
1.7,7.59,7.52,4.67,11848,4,3,2
1.24,6.94,6.89,4.33,13929,0,2,7
0.42,4.78,4.81,2.98,1193,4,4,6
0.32,4.42,4.4,2.72,1020,1,2,6
0.9,6.14,6.2,3.74,3534,0,4,3
0.34,4.53,4.55,2.79,647,4,2,2
0.38,4.64,4.61,2.86,1112,1,3,5
0.51,5.15,5.19,3.16,2163,3,2,1
0.3,4.3,4.32,2.66,789,3,2,6
0.42,4.79,4.75,3.02,926,2,4,2
0.92,6.18,6.16,3.9,4183,1,4,2
0.8,5.95,5.91,3.72,3369,2,2,5
0.93,6.11,6.14,3.95,3839,0,1,3
0.72,5.75,5.79,3.53,2452,5,2,7
0.75,5.78,5.81,3.61,2923,1,4,2
0.56,5.33,5.3,3.28,2026,0,2,4
2.09,8.15,8.22,5.06,17114,5,2,2
1.1,6.54,6.58,4.11,4356,5,4,2
0.71,5.7,5.65,3.54,2803,3,3,4
0.8,6.06,6.02,3.59,3226,0,3,2
0.7,5.77,5.73,3.47,2399,4,4,4
0.34,4.43,4.47,2.8,805,0,4,5
0.52,5.15,5.18,3.19,1120,1,4,3
1.05,6.6,6.65,4.02,8946,3,2,6
0.32,4.42,4.38,2.75,720,3,2,5
0.5,5.07,5.12,3.13,1624,1,3,5
2.01,8.03,7.94,5.02,18206,5,3,4
0.5,5.12,5.16,3.08,1624,3,3,4
1.01,6.44,6.48,3.98,12996,0,2,7
1.11,6.61,6.68,4.12,4871,4,4,2
0.41,4.78,4.83,2.95,1439,2,2,1
0.33,4.44,4.47,2.73,463,5,2,2
0.26,4.17,4.18,2.5,597,1,4,6
1.09,6.63,6.68,4.07,4586,3,2,3
0.52,5.17,5.2,3.23,1549,1,2,5
0.34,4.43,4.46,2.78,596,4,2,4
0.56,5.38,5.21,3.26,1176,2,0,2
0.28,4.2,4.21,2.6,394,3,1,5
0.23,3.92,3.97,2.48,402,0,4,5
0.51,5.1,5.07,3.17,1546,3,3,5
1.73,7.65,7.62,4.75,12674,5,3,4
0.71,5.68,5.73,3.53,3371,4,2,7
0.7,5.57,5.61,3.46,2088,4,1,2
0.91,6.18,6.23,3.84,4201,4,3,5
0.71,5.69,5.72,3.53,2671,3,4,5
0.3,4.26,4.28,2.68,655,4,4,6
1.51,7.1,7.19,4.57,8975,5,1,4
0.36,4.57,4.52,2.86,810,1,2,2
0.31,4.34,4.39,2.71,500,2,4,5
0.55,5.26,5.31,3.24,1605,3,2,2
1.58,7.54,7.51,4.57,6990,2,3,3
0.9,6.12,6.17,3.8,4155,4,3,5
0.34,4.47,4.45,2.77,880,2,2,5
0.34,4.47,4.5,2.77,626,5,2,6
1.03,6.56,6.62,4.04,9881,2,2,6
0.71,5.74,5.76,3.55,3516,2,2,5
1.2,6.76,6.81,4.24,5280,4,3,3
0.3,4.3,4.25,2.71,506,6,4,4
0.61,5.45,5.48,3.39,1143,6,2,2
0.53,5.23,5.2,3.2,2860,2,2,6
1.51,7.29,7.37,4.47,8243,4,1,3
0.7,5.71,5.74,3.51,2161,2,3,2
0.7,5.75,5.71,3.53,2874,2,2,4
0.98,6.18,6.04,4.19,3583,4,0,2
1.11,6.63,6.69,4.11,4092,6,2,3
0.61,5.46,5.49,3.33,1149,6,4,2
0.24,3.91,3.93,2.51,471,2,1,7
1.02,6.48,6.52,3.91,4162,2,4,3
1.57,7.42,7.47,4.64,9460,5,2,2
1.03,6.46,6.41,4.02,5129,4,3,2
1.14,6.73,6.77,4.15,4212,6,2,3
0.25,4.0,4.06,2.54,575,1,4,7
2.02,8.26,8.31,4.89,13144,4,1,3
0.55,5.25,5.28,3.26,1588,4,2,4
0.54,5.2,5.25,3.21,1662,2,2,5
0.9,6.31,6.26,3.74,3105,4,4,3
0.91,6.23,6.19,3.76,4138,1,3,2
0.31,4.37,4.33,2.64,698,3,3,5
1.51,7.4,7.36,4.52,6934,0,2,3
0.9,6.13,6.03,3.77,3338,5,4,5
0.31,4.29,4.31,2.73,571,0,1,2
0.5,5.24,5.21,2.94,1332,4,0,5
0.3,4.31,4.36,2.67,473,5,2,4
1.25,6.74,6.95,4.29,5975,5,4,5
0.44,4.83,4.9,3.01,694,6,4,4
1.11,6.69,6.62,4.09,7055,3,3,5
1.01,6.32,6.45,3.93,5051,0,2,3
1.06,6.65,6.61,4.04,6582,3,3,5
0.59,5.33,5.37,3.35,2125,3,2,7
0.34,4.43,4.48,2.84,447,5,1,2
0.42,4.8,4.77,2.99,945,5,2,6
0.83,6.22,6.18,3.62,3506,1,3,2
0.31,4.38,4.41,2.71,642,1,2,5
0.43,4.78,4.83,3.02,760,0,4,2
1.11,6.66,6.62,4.08,6291,1,2,2
1.06,6.57,6.63,4.05,3777,5,2,3
1.16,6.8,6.82,4.08,5001,1,2,3
2.14,8.41,8.48,5.04,16914,5,4,5
1.51,7.3,7.24,4.59,13811,3,4,4
0.92,6.27,6.32,3.79,3057,0,4,3
1.0,6.31,6.38,3.97,6762,0,4,5
1.08,6.6,6.56,4.1,7917,2,2,5
0.3,4.28,4.3,2.66,615,5,2,1
0.3,4.34,4.32,2.66,945,3,2,6
0.41,4.81,4.8,2.92,1107,2,2,5
0.26,4.15,4.17,2.51,733,2,2,6
1.51,7.19,7.15,4.63,8287,5,0,5
0.31,4.41,4.44,2.63,544,5,3,7
0.7,5.71,5.68,3.53,2184,4,2,2
0.38,4.7,4.74,2.85,844,2,2,2
0.31,4.35,4.32,2.66,802,4,3,7
0.76,5.85,5.94,3.57,3833,1,4,7
0.7,5.6,5.64,3.58,2367,0,1,3
0.28,4.18,4.24,2.57,487,2,4,4
1.28,6.98,7.01,4.3,12061,2,2,4
1.28,6.94,6.89,4.31,4636,6,3,3
1.52,7.45,7.41,4.53,8299,1,2,3
2.26,8.4,8.37,5.2,16241,5,3,3
0.3,4.29,4.31,2.68,477,3,2,2
0.31,4.34,4.38,2.7,542,3,2,4
1.01,6.35,6.4,4.01,6075,2,4,2
0.9,6.17,6.1,3.8,4209,1,3,2
1.0,6.31,6.36,3.97,7877,0,4,4
0.4,4.7,4.72,2.92,597,2,2,3
0.71,5.73,5.75,3.53,2893,3,2,7
0.34,4.55,4.59,2.71,596,1,3,2
1.13,6.66,6.69,4.16,5384,4,2,2
0.32,4.44,4.48,2.69,779,3,2,6
1.0,6.39,6.43,3.96,4743,1,2,3
1.5,7.37,7.34,4.51,10080,4,2,4
0.35,4.47,4.53,2.81,798,3,4,7
0.41,4.85,4.89,2.89,951,2,4,5
1.51,7.27,7.23,4.61,7957,5,1,3
0.3,4.39,4.41,2.64,663,1,2,4
1.0,6.61,6.53,3.77,4032,5,1,7
1.51,7.52,7.49,4.47,12696,3,3,5
0.7,5.63,5.58,3.66,2762,2,0,5
1.2,6.84,6.8,4.24,4106,6,2,5
0.4,4.69,4.67,2.96,765,5,4,2
1.24,6.9,6.96,4.28,7106,3,4,2
0.59,5.43,5.47,3.33,2140,2,2,4
0.76,5.81,5.79,3.64,2364,3,3,3
1.01,6.46,6.5,3.98,4653,3,2,2
1.1,6.74,6.72,4.01,3726,6,3,3
0.61,5.49,5.59,3.35,1306,3,2,3
0.5,4.99,4.84,3.18,1069,2,0,2
0.83,6.02,5.95,3.74,2825,4,3,2
0.93,6.2,6.24,3.88,4635,4,2,2
1.03,6.48,6.45,4.02,6299,0,2,2
0.9,6.14,6.07,3.8,3984,3,3,2
1.3,7.09,7.04,4.27,4732,4,3,3
0.57,5.34,5.28,3.26,1728,1,3,2
0.25,4.02,4.05,2.52,576,1,3,7
1.01,6.34,6.4,4.02,7430,3,1,7
1.01,6.56,6.52,3.94,6335,1,3,5
0.7,5.63,5.69,3.47,2980,0,1,2
1.01,6.38,6.34,4.08,4839,4,1,5
1.35,7.26,7.2,4.32,5715,5,3,3
0.91,6.26,6.31,3.82,3910,0,4,3
0.3,4.28,4.31,2.65,862,1,2,6
0.36,4.56,4.6,2.82,801,1,2,5
0.95,6.36,6.34,3.8,3181,3,3,3
0.55,5.32,5.36,3.17,1667,3,4,4
0.37,4.61,4.58,2.82,957,3,3,4
1.25,6.88,6.84,4.25,8099,4,3,4
1.27,6.89,6.95,4.29,8915,3,2,5
1.29,6.95,6.93,4.31,5926,4,2,3
0.9,6.26,6.21,3.8,2947,5,3,2
1.52,7.16,7.13,4.64,6129,4,0,3
0.2,3.74,3.71,2.36,367,1,4,5
0.35,4.56,4.5,2.77,788,1,3,2
0.31,4.31,4.28,2.67,1116,1,3,7
0.7,5.64,5.7,3.59,3310,2,1,6
0.8,5.95,5.99,3.68,4740,3,2,7
0.33,4.44,4.41,2.76,743,5,2,7
0.91,6.18,6.21,3.86,4914,1,4,2
1.1,6.65,6.7,3.99,3678,2,4,0
1.07,6.53,6.47,4.04,4194,4,3,3
0.37,4.63,4.67,2.88,917,3,2,7
1.26,7.0,6.86,4.3,5173,6,3,5
1.26,6.96,6.87,4.24,6350,4,3,3
0.31,4.34,4.38,2.64,625,4,3,7
1.34,7.05,7.02,4.38,7816,4,3,5
1.51,7.28,7.26,4.59,11934,4,4,7
1.21,6.84,6.79,4.24,5882,4,2,5
0.3,4.31,4.36,2.67,670,0,2,5
0.32,4.38,4.42,2.73,758,0,4,5
0.71,5.84,5.81,3.44,2839,2,3,4
0.32,4.45,4.42,2.74,828,3,2,4
0.29,4.27,4.31,2.64,498,4,2,4
0.58,5.4,5.36,3.29,1307,3,3,3
1.59,7.42,7.4,4.64,9385,4,3,3
0.53,5.21,5.28,3.21,1341,5,2,7
0.41,4.84,4.8,2.92,600,5,3,3
0.5,5.07,5.09,3.13,1695,2,2,4
2.01,8.12,8.07,5.03,18295,4,2,2
0.51,5.14,5.17,3.18,1744,2,2,4
0.52,5.19,5.14,3.19,2012,3,2,7
0.61,5.46,5.49,3.34,1401,5,2,3
1.08,6.6,6.53,4.13,6982,3,3,4
0.36,4.5,4.54,2.83,505,1,4,3
0.43,4.85,4.87,3.01,1207,0,2,4
0.7,5.63,5.71,3.49,2593,2,4,5
0.5,5.13,5.1,3.18,1654,0,3,2
0.7,5.6,5.5,3.61,1720,5,0,2
1.51,7.21,7.28,4.55,10225,4,4,5
0.41,4.78,4.75,2.97,1582,0,3,6
0.3,4.3,4.25,2.6,540,4,3,2
0.37,4.96,4.91,2.58,1166,2,0,1
1.23,6.88,6.83,4.28,8233,3,2,5
0.58,5.33,5.35,3.31,1752,1,2,5
0.38,4.69,4.66,2.83,898,4,3,5
0.79,5.96,6.01,3.67,3328,0,2,2
0.9,6.1,6.16,3.84,3593,3,4,3
1.0,6.75,6.72,4.2,5404,4,3,5
0.3,4.31,4.33,2.67,886,2,2,1
1.0,6.43,6.32,3.91,6048,3,3,5
1.25,6.92,6.95,4.2,10962,3,4,6
0.8,5.9,5.81,3.69,2760,3,3,2
0.31,4.32,4.38,2.7,636,0,2,5
0.38,4.75,4.74,2.88,1069,4,2,6
0.71,5.76,5.79,3.49,2003,5,4,3
0.33,4.49,4.55,2.72,579,1,4,2
0.3,4.29,4.26,2.65,844,1,3,5
0.3,4.37,4.35,2.66,731,2,2,4
0.35,4.56,4.52,2.83,827,0,2,2
0.41,4.81,4.77,2.94,969,1,3,2
0.29,4.23,4.27,2.63,673,3,2,1
0.31,4.27,4.31,2.74,544,1,1,2
0.71,5.67,5.62,3.55,2352,3,2,2
0.71,5.87,5.83,3.46,2572,4,3,4
1.07,6.57,6.63,4.05,5313,2,2,3
0.55,5.37,5.34,3.09,1089,5,1,2
2.01,8.0,7.93,5.02,18172,3,2,5
0.9,6.34,6.41,3.7,3770,2,1,3
0.36,4.57,4.61,2.86,505,3,2,3
0.4,4.73,4.76,2.87,648,0,2,3
0.52,5.19,5.16,3.2,1581,3,4,4
2.08,8.24,8.16,5.02,15321,5,3,3
1.5,7.31,7.38,4.54,14790,1,3,5
0.59,5.38,5.43,3.35,2444,3,2,1
0.31,4.36,4.38,2.71,840,2,2,6
1.5,7.31,7.38,4.55,10302,0,1,3
1.52,7.4,7.31,4.57,14105,3,3,7
0.71,5.7,5.65,3.55,3018,2,2,7
0.33,4.39,4.43,2.75,666,2,4,5
0.41,4.76,4.73,2.98,1230,0,2,4
0.84,6.03,6.09,3.72,3201,5,2,4
0.73,5.78,5.84,3.56,3023,2,4,2
0.71,5.6,5.69,3.56,2240,3,4,2
1.03,6.53,6.51,4.0,5101,1,3,2
1.54,7.47,7.44,4.51,11574,3,3,2
0.54,5.3,5.38,3.21,2502,1,1,7
0.7,5.78,5.74,3.47,2657,2,3,5
0.52,5.16,5.14,3.17,1694,1,3,5
0.41,4.77,4.74,3.01,947,0,4,2
0.31,4.38,4.35,2.7,628,4,2,5
0.71,5.88,5.82,3.43,3082,2,3,4
0.43,4.85,4.87,2.98,1207,3,4,6
0.9,6.16,6.21,3.8,3489,3,4,3
0.34,4.5,4.52,2.8,745,1,2,5
0.33,4.45,4.42,2.77,743,1,2,2
0.33,4.44,4.48,2.68,666,3,4,4
0.71,5.79,5.74,3.49,2756,1,3,2
0.7,5.62,5.58,3.58,3033,0,1,5
1.53,7.34,7.25,4.6,13369,4,4,1
0.33,4.47,4.49,2.77,1028,2,2,1
2.01,7.97,7.9,5.05,11096,3,1,3
1.02,6.38,6.44,4.04,4162,2,4,3
0.35,4.58,4.55,2.77,984,1,3,5
0.3,4.29,4.24,2.66,844,1,2,5
0.3,4.2,4.23,2.66,684,3,1,7
0.74,5.85,5.79,3.59,3170,2,3,4
1.02,6.61,6.57,3.87,4478,1,3,3
0.43,4.85,4.88,2.98,943,3,2,4
0.73,5.9,5.86,3.53,3557,0,3,4
0.3,4.29,4.33,2.65,658,1,2,5
0.38,4.68,4.71,2.88,1120,2,2,6
0.72,5.86,5.93,3.45,2126,2,4,3
1.47,7.51,7.46,4.42,7573,4,3,3
1.42,7.29,7.24,4.48,11861,3,3,4
0.71,5.7,5.74,3.54,2909,4,2,4
0.33,4.47,4.49,2.73,619,2,2,5
0.32,4.42,4.36,2.68,540,3,3,3
0.31,4.39,4.36,2.65,872,1,3,5
1.01,6.39,6.37,4.04,5077,1,4,2
1.2,6.77,6.74,4.27,5665,3,4,2
0.71,5.74,5.78,3.53,2690,0,2,2
0.46,4.98,4.95,3.1,1298,0,2,5
0.43,4.85,4.78,3.01,1129,2,3,4
0.53,5.18,5.26,3.25,1286,5,3,4
0.32,4.41,4.45,2.72,599,1,2,5
1.0,6.42,6.36,4.02,4333,2,3,3
1.22,6.86,6.87,4.22,5649,6,2,4
1.62,7.57,7.58,4.68,15318,3,2,5
0.78,5.87,5.92,3.64,3074,3,4,5
1.2,6.72,6.65,4.2,10053,3,3,7
0.42,4.75,4.82,2.95,884,2,4,5
0.6,5.37,5.4,3.36,1554,2,4,2
0.43,4.86,4.89,2.96,706,2,1,2
0.3,4.27,4.24,2.68,506,6,3,4
0.29,4.27,4.25,2.64,858,1,2,7
0.57,5.38,5.33,3.3,1949,1,2,5
0.41,4.77,4.82,2.93,982,1,1,5
0.41,4.8,4.74,2.94,1076,3,3,7
1.03,6.67,6.62,3.92,7752,2,2,4
0.74,5.84,5.91,3.58,3635,3,2,4
1.21,6.79,6.86,4.23,5111,5,4,3
0.65,5.65,5.62,3.42,1219,5,3,3
1.52,7.6,7.53,4.44,8127,4,3,3
1.0,6.55,6.5,3.85,4144,2,3,2
0.33,4.56,4.6,2.69,897,2,4,1
0.7,5.74,5.78,3.5,2445,2,2,2
0.3,4.34,4.3,2.68,848,0,2,4
2.03,8.1,8.15,5.02,15143,4,2,3
0.33,4.42,4.4,2.74,854,3,2,4
1.1,6.58,6.53,4.15,4140,1,4,3
0.5,5.07,5.11,3.17,1752,0,2,5
1.2,6.8,6.7,4.22,3931,5,2,3
0.78,6.02,5.99,3.64,2486,3,3,3
1.01,6.46,6.38,3.98,6996,1,4,4
0.44,4.96,4.9,3.0,1294,3,3,6
1.23,6.88,6.97,4.21,5037,3,4,3
0.5,5.07,5.14,3.15,1429,4,2,4
1.15,6.69,6.64,4.2,6942,0,3,2
0.5,5.13,5.09,3.12,1097,1,3,3
1.01,6.41,6.45,3.94,5166,4,3,5
1.02,6.51,6.46,3.96,5084,4,3,2
0.71,5.68,5.74,3.57,2495,5,4,7
0.97,6.51,6.47,3.82,4020,2,3,3
0.84,5.93,6.02,3.76,3816,0,4,2
0.51,5.03,5.02,3.22,1274,2,1,2
0.57,5.35,5.3,3.33,1058,1,3,3
1.21,6.8,6.83,4.28,6022,4,4,2
1.01,6.45,6.48,4.01,5186,4,4,5
1.11,6.54,6.6,4.03,5042,0,4,3
0.59,5.2,5.25,3.39,1643,2,1,5
1.01,6.35,6.4,3.99,4821,4,4,5
0.24,3.95,3.98,2.45,478,2,4,6
0.23,3.93,3.96,2.43,493,2,2,5
0.57,5.31,5.37,3.3,1292,4,2,2
0.74,5.94,6.01,3.44,2369,4,1,5
0.42,4.85,4.82,2.93,1221,2,2,7
1.0,6.64,6.59,3.75,4838,3,1,5
0.39,4.7,4.73,2.89,853,4,2,7
1.05,6.58,6.66,3.98,3828,3,3,3
0.6,5.43,5.46,3.37,1875,2,2,5
0.32,4.42,4.49,2.68,544,6,4,6
0.31,4.24,4.31,2.7,544,1,1,2
0.34,4.44,4.48,2.87,589,2,1,5
0.34,4.48,4.49,2.79,745,1,2,5
1.06,6.57,6.61,4.03,5277,4,2,5
0.31,4.31,4.33,2.73,462,3,1,2
1.01,6.39,6.44,3.95,4166,4,3,3
0.72,5.75,5.77,3.56,3417,4,2,7
0.32,4.37,4.41,2.76,561,4,4,4
1.01,6.36,6.42,3.93,4260,0,1,3
1.09,6.57,6.59,4.08,4959,5,4,5
1.0,6.46,6.41,3.96,7849,2,2,7
0.93,6.15,6.28,3.87,3933,3,4,2
0.42,4.8,4.82,2.97,1132,0,2,7
1.51,7.35,7.29,4.57,7695,3,3,3
1.22,6.88,6.93,4.2,5502,4,2,3
2.01,8.07,8.09,5.02,18736,3,2,2
1.1,6.77,6.7,4.01,5821,2,3,2
0.31,4.36,4.39,2.7,800,1,2,4
1.5,7.39,7.43,4.48,12014,3,4,5
0.3,4.38,4.34,2.65,878,3,3,7
1.01,6.43,6.49,3.99,10789,1,2,6
1.01,6.46,6.49,3.88,5224,1,4,2
2.4,8.59,8.67,5.24,17955,5,4,3
0.31,4.31,4.28,2.71,663,2,4,2
0.51,5.06,5.12,3.2,1438,3,4,5
0.51,5.28,5.32,3.08,1583,1,4,4
0.3,4.31,4.36,2.68,658,1,3,5
1.01,6.37,6.44,3.96,4166,5,3,2
1.53,7.38,7.29,4.59,9022,5,3,2
0.35,4.53,4.49,2.81,748,2,3,2
0.72,5.84,5.81,3.51,2724,2,2,5
1.35,7.01,7.04,4.41,9302,3,4,5
0.7,5.74,5.71,3.53,2979,1,2,5
1.7,7.84,7.92,4.62,18176,1,4,5
1.0,6.41,6.44,3.97,4602,5,2,2
0.34,4.49,4.53,2.8,863,3,2,6
0.53,5.18,5.14,3.23,1956,0,2,5
0.75,5.84,5.88,3.57,2545,3,4,2
1.01,6.3,6.37,3.96,4239,5,1,5
1.08,6.64,6.61,4.1,5850,4,2,5
0.9,6.08,6.05,3.77,3013,0,3,2
1.2,6.87,6.82,4.2,4838,6,3,2
0.36,4.57,4.61,2.8,1126,0,2,7
0.4,4.79,4.81,2.93,849,5,2,6
0.71,5.79,5.76,3.47,1761,2,2,0
0.3,4.27,4.33,2.71,645,0,4,4
1.13,6.68,6.64,4.18,4746,5,3,2
1.01,6.41,6.44,4.01,5154,2,2,3
0.3,4.25,4.21,2.65,788,1,3,5
0.3,4.27,4.23,2.67,776,3,3,4
0.54,5.22,5.24,3.22,1630,4,2,4
1.56,7.41,7.36,4.61,10090,1,3,3
0.71,5.65,5.7,3.53,2423,1,4,3
2.0,8.25,8.06,4.92,12388,3,3,3
0.3,4.35,4.38,2.67,545,3,2,5
0.58,5.42,5.38,3.27,1949,1,3,2
0.76,5.87,5.9,3.61,4229,0,2,4
1.01,6.24,6.35,3.94,3399,5,1,3
1.6,7.58,7.54,4.6,16339,3,2,6
0.74,5.84,5.81,3.56,3401,1,3,4
1.28,7.06,7.16,4.2,5759,6,1,4
0.32,4.39,4.38,2.72,591,4,3,2
0.35,4.51,4.57,2.76,522,0,3,3
